id;name;contact_person;email;phone;address;delivery_preference;payment_terms;active;note
1;into yowza hm;pfft briefly;Forrest22@hotmail.com;264.951.4856 x7084;../fake-data/blob/hipster.txt;wonderfully unless;aw silver;false;../fake-data/blob/hipster.txt
2;happily gift;search nippy deck;Johnathon.Flatley47@hotmail.com;377.467.3800;../fake-data/blob/hipster.txt;ashamed consequently;ruin adviser gah;true;../fake-data/blob/hipster.txt
3;gosh zowie solvency;kindly keenly midst;Timmothy_Klocko60@gmail.com;1-336-942-1388;../fake-data/blob/hipster.txt;until hmph;limply before reassuringly;false;../fake-data/blob/hipster.txt
4;frozen;meh;Mateo.Emmerich97@gmail.com;1-981-601-9319 x949;../fake-data/blob/hipster.txt;in;in handsome;true;../fake-data/blob/hipster.txt
5;as comb repentant;uh-huh dish;Sylvester41@hotmail.com;200-241-4973 x903;../fake-data/blob/hipster.txt;row that;fiercely amidst now;false;../fake-data/blob/hipster.txt
6;along fondly huzzah;once plumber pulverize;Eve.Greenfelder75@gmail.com;(827) 205-5502 x6574;../fake-data/blob/hipster.txt;even yowza;excitedly;true;../fake-data/blob/hipster.txt
7;whether knife;briefly anenst joyous;Domenick_Bashirian34@hotmail.com;1-436-978-7017;../fake-data/blob/hipster.txt;ouch wholly;behind baptise;false;../fake-data/blob/hipster.txt
8;ajar;around;Omari.Corkery@hotmail.com;678.433.4947 x514;../fake-data/blob/hipster.txt;huzzah shoot precious;eternity;false;../fake-data/blob/hipster.txt
9;ponder warp;an shout;Jerrell.Larkin@gmail.com;(489) 342-0026 x034;../fake-data/blob/hipster.txt;next;yet;true;../fake-data/blob/hipster.txt
10;phew;instructive yellow;Micah.Haley53@hotmail.com;214-437-9821 x097;../fake-data/blob/hipster.txt;marimba dusk hence;yieldingly;false;../fake-data/blob/hipster.txt
